State_Year,Year,State,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G,Count
2013_ID,2013,ID,2015534.0,1967676.0,87143.0,296476.0,8624
2013_IL,2013,IL,30057886.0,29517831.0,621531.0,2066990.0,62530
2013_IN,2013,IN,12236713.0,11211155.0,316350.0,1047385.0,28190
2013_KS,2013,KS,5667223.0,5621023.0,138847.0,496440.0,11256
2013_KY,2013,KY,7216175.0,7413896.0,192256.0,677389.0,24358
2013_LA,2013,LA,8121179.0,7940880.0,188181.0,711491.0,26514
2013_MA,2013,MA,16114783.0,16201905.0,287478.0,955739.0,87082
2013_MD,2013,MD,13814727.0,13284637.0,253589.0,866169.0,40086
2013_ME,2013,ME,2650346.0,2535405.0,56924.0,183995.0,13096
2013_MI,2013,MI,18270327.0,17468264.0,487518.0,1548841.0,52732
2013_MN,2013,MN,10848720.0,10942019.0,261409.0,850973.0,38954
2013_MO,2013,MO,10103589.0,10001763.0,269227.0,918288.0,41926
2013_MS,2013,MS,4444064.0,4370050.0,132568.0,492586.0,11932
2013_MT,2013,MT,1671053.0,1679521.0,42138.0,144129.0,9038
2013_NC,2013,NC,12729402.0,13650536.0,441263.0,1530857.0,58286
2013_ND,2013,ND,1405349.0,1516575.0,30420.0,103947.0,9474
2013_NE,2013,NE,3870164.0,3913038.0,88555.0,307677.0,14602
2013_NH,2013,NH,2976317.0,2878534.0,59377.0,186310.0,7058
2013_NJ,2013,NJ,28070096.0,28179900.0,399391.0,1370295.0,54036
2013_NM,2013,NM,3518621.0,3536546.0,97716.0,339244.0,13862
2013_NV,2013,NV,4131800.0,4057443.0,132564.0,451831.0,32632
2013_NY,2013,NY,59623918.0,60505950.0,820326.0,2732770.0,344306
2013_OH,2013,OH,22536516.0,22015797.0,515611.0,1724111.0,58736
2013_OK,2013,OK,5878111.0,5796945.0,179811.0,681848.0,21382
2013_OR,2013,OR,6077498.0,6228197.0,178595.0,593000.0,70448
